"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","LUNEL-VIEL","Lunel Viel",43.6757999997234,4.08838000027485,"NO2","eea","µg/m³",30.3,"2024-09-16T14:00:00+02:00","France"
"FR","FLÉVILLE-DEVANT-NANCY","Fléville",48.6215020000024,6.19492199960431,"PM10","eea","µg/m³",15.2,"2024-09-16T08:00:00+02:00","France"
"FR","ÉPINAL","Epinal",48.1727800002807,6.45281099995298,"CO","eea","µg/m³",108,"2019-08-09T13:00:00+02:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",43.310833,-0.391111,"NO2","EEA France","µg/m³",24.6,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.096943,-0.038889,"PM2.5","EEA France","µg/m³",10.6,"2024-01-29T18:00:00+01:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",46.17,1.87,"O3","EEA France","µg/m³",2.8,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",44.84139,-0.65,"PM10","EEA France","µg/m³",6.9,"2024-03-04T07:00:00+01:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.63028,0.179722,"NO2","EEA France","µg/m³",0.3,"2024-03-01T10:00:00+01:00","France"
"FR","ATMO GRAND EST","NET-FR075A",48.575985,7.727478,"PM10","EEA France","µg/m³",25.6,"2024-02-05T22:00:00+01:00","France"
"FR","Eure-et-Loir","FR34046",48.7314125600919,1.36388514642015,"PM10","EEA France","µg/m³",11.6,"2024-01-29T18:00:00+01:00","France"
"FR","Morbihan","FR19033",47.648889066211,-2.76389155041474,"PM10","EEA France","µg/m³",23,"2024-01-29T18:00:00+01:00","France"
"FR","Saône-et-Loire","FR32001",46.7824722190452,4.84726435734473,"NO","EEA France","µg/m³",43.2,"2024-01-29T18:00:00+01:00","France"
"FR","Nord","FR10029",50.9959079994751,2.365994,"SO2","EEA France","µg/m³",-1,"2024-01-29T18:00:00+01:00","France"
"FR","Meurthe-et-Moselle","FR30036",48.6963231696882,6.14612046034746,"PM2.5","EEA France","µg/m³",11.1,"2024-01-29T18:00:00+01:00","France"
